name,qid,human,transformer,gpt3,chat_user_collo,chat_user_natural
11pt_avg              ,111_1,0.408,0.2938,0.284,0.288,0.288
11pt_avg              ,111_2,0.5915,0.1058,0.1309,0.001,0.0865
11pt_avg              ,111_3,0.197,0.0027,0.4378,0.0119,0.0065
11pt_avg              ,111_4,0.3014,0.0033,0.2153,0.2275,0.1916
11pt_avg              ,111_5,0.0729,0.0188,0.0478,0.0116,0.0131
11pt_avg              ,111_6,0.5575,0.6632,0.6086,0.6084,0.7062
11pt_avg              ,111_7,0.1389,0.0133,0,0.4179,0.4179
11pt_avg              ,111_8,0.0159,0.3569,0.3143,0.1852,0.1964
11pt_avg              ,111_9,0.1115,0.0152,0.3314,0.1654,0.1224
11pt_avg              ,112_1,0.2872,0.5979,0.5837,0.5837,0.5838
11pt_avg              ,112_2,0.8508,0.0091,0.4319,0.4906,0.703
11pt_avg              ,112_3,0.3784,0.3072,0.1915,0.2321,0.3311
11pt_avg              ,112_4,0.1453,0.3073,0.4837,0.2868,0.4208
11pt_avg              ,112_5,0.2018,0.26,0.3444,0.3257,0.3257
11pt_avg              ,112_6,0.1657,0.2328,0.2288,0.15,0.2412
11pt_avg              ,112_7,0.1902,0.0069,0.1177,0.3159,0.1609
11pt_avg              ,112_9,0.002,0.1013,0.2218,0.0143,0.0983
11pt_avg              ,113_1,0.1853,0.2196,0.2601,0.2625,0.2625
11pt_avg              ,113_2,0.3298,0.2139,0.2582,0.2192,0.2242
11pt_avg              ,113_3,0.2853,0.0072,0.2922,0.22,0.1274
11pt_avg              ,113_4,0.0242,0.0002,0.0035,0,0.0001
11pt_avg              ,113_5,0.1587,0.0096,0.0086,0.0215,0.0082
11pt_avg              ,113_6,0.2605,0.1794,0.3017,0,0.1982
11pt_avg              ,113_7,0.2383,0,0.0311,0.0315,0.0285
11pt_avg              ,113_8,0.1254,0.0548,0.037,0.0362,0.0213
11pt_avg              ,115_1,0.2732,0.2515,0.3056,0.3056,0.3056
11pt_avg              ,115_10,0.1425,0.0199,0.0341,0.008,0.0938
11pt_avg              ,115_11,0.0259,0.273,0.2727,0.2727,0.2727
11pt_avg              ,115_2,0.3384,0.0592,0.3821,0.1562,0.3209
11pt_avg              ,115_3,0.1841,0.1187,0.0976,0.1423,0.1178
11pt_avg              ,115_4,0.3592,0.0001,0.3406,0.0091,0.2699
11pt_avg              ,115_5,0.3604,0.0002,0.3889,0.3067,0.3768
11pt_avg              ,115_6,0.1838,0.0091,0.1336,0.0997,0.12
11pt_avg              ,115_7,0.3259,0.0932,0.1029,0.0212,0.1012
11pt_avg              ,115_8,0.308,0,0.5151,0.445,0.4302
11pt_avg              ,115_9,0.1819,0.155,0.2231,0.0104,0.075
11pt_avg              ,116_1,0.3866,0.3051,0.422,0.4237,0.4237
11pt_avg              ,116_2,0.3544,0.2974,0.2314,0.275,0.2352
11pt_avg              ,116_3,0.1616,0.0955,0.0258,0.0325,0.0246
11pt_avg              ,116_4,0.12,0.0027,0.2384,0.2794,0.3149
11pt_avg              ,116_5,0.2093,0.0189,0.1334,0.001,0.0191
11pt_avg              ,116_6,0.6917,0.2544,0.2049,0.3545,0.2364
11pt_avg              ,116_7,0.0599,0.0652,0.0856,0.0484,0.0516
11pt_avg              ,116_8,0.0611,0.1095,0.0468,0.0822,0.1309
11pt_avg              ,117_1,0,0.5501,0.4274,0.4274,0.4274
11pt_avg              ,117_10,0.0156,0.0095,0.0485,0.0006,0.0056
11pt_avg              ,117_2,0.0028,0.031,0.195,0,0.007
11pt_avg              ,117_3,0.0011,0,0.098,0.0517,0.5538
11pt_avg              ,117_4,0.0019,0,0.3837,0.4665,0.4604
11pt_avg              ,117_5,0,0.611,0.6223,0.6212,0.6724
11pt_avg              ,117_6,0,0.5822,0.6965,0.6182,0.8369
11pt_avg              ,117_8,0.0003,0.274,0.4557,0.047,0.2736
11pt_avg              ,117_9,0.0008,0.1214,0.2128,0.1384,0.2333
11pt_avg              ,118_1,0.2152,0.2691,0.2676,0.2704,0.2703
11pt_avg              ,118_2,0.417,0.5935,0.5101,0.4527,0.4861
11pt_avg              ,118_3,0.3367,0.5722,0.3512,0.5096,0.4576
11pt_avg              ,118_4,0.1897,0.0092,0.2797,0.2478,0.1559
11pt_avg              ,118_5,0.1104,0.0044,0.2498,0.2954,0.2624
11pt_avg              ,118_6,0.2429,0.0003,0.2996,0.2355,0.2849
11pt_avg              ,118_7,0.3531,0.3373,0.3128,0.2889,0.3633
11pt_avg              ,118_8,0.4222,0.3716,0.2026,0.3199,0.361
11pt_avg              ,119_1,0.357,0.4944,0.4542,0.4542,0.4542
11pt_avg              ,119_2,0.4598,0.0122,0.5459,0.4591,0.4352
11pt_avg              ,119_3,0.5672,0.3683,0.3818,0,0.0003
11pt_avg              ,119_4,0.4591,0.0049,0.007,0.0088,0.0076
11pt_avg              ,119_5,0.0048,0.1895,0.1295,0.0001,0.0076
11pt_avg              ,119_6,0.1169,0.5151,0.3525,0.4656,0.4875
11pt_avg              ,119_7,0.0199,0.2747,0.1517,0.3903,0.5083
11pt_avg              ,119_8,0.038,0.2975,0.0983,0.0001,0.1456
11pt_avg              ,121_1,0.1127,0.3493,0.1777,0.1777,0.178
11pt_avg              ,121_2,0.3093,0.2629,0.2733,0.2854,0.176
11pt_avg              ,121_3,0.2758,0.3502,0.2548,0.2305,0.2538
11pt_avg              ,121_4,0.2107,0.3167,0.3927,0.4329,0.3934
11pt_avg              ,121_5,0,0.2044,0.7249,0.043,0.0391
11pt_avg              ,121_6,0.076,0.2236,0.314,0.047,0.1652
11pt_avg              ,121_7,0.0042,0.4697,0.5289,0.4321,0.4195
11pt_avg              ,121_8,0.4265,0,0.318,0.299,0.3309
11pt_avg              ,124_1,0.1825,0.4347,0.3572,0.3572,0.3572
11pt_avg              ,124_10,0.4479,0.3096,0.414,0.2242,0.2528
11pt_avg              ,124_11,0.2563,0.2895,0.3118,0.3261,0.185
11pt_avg              ,124_2,0.4322,0.4356,0.4066,0.1208,0.3037
11pt_avg              ,124_3,0.248,0.2574,0.1874,0.1038,0.1568
11pt_avg              ,124_4,0.1786,0.2777,0.0353,0.0576,0.1171
11pt_avg              ,124_5,0.0914,0.082,0.0679,0.2145,0.2531
11pt_avg              ,124_6,0.4124,0.3595,0.3796,0.3107,0.3137
11pt_avg              ,124_7,0.1453,0.297,0.3927,0.2529,0.2693
11pt_avg              ,124_8,0.1652,0.2735,0.2799,0.2496,0.2406
11pt_avg              ,124_9,0.477,0.1939,0.3517,0.2697,0.4593
11pt_avg              ,125_1,0.3655,0.6859,0.6058,0.6058,0.6058
11pt_avg              ,125_2,0.1002,0.6309,0.7074,0.5147,0.6636
11pt_avg              ,125_3,0.3027,0.5868,0.5644,0.4998,0.5558
11pt_avg              ,125_4,0.0065,0.1229,0.1332,0.1462,0.1144
11pt_avg              ,125_5,0.5167,0.2443,0.4527,0.0479,0.4566
11pt_avg              ,125_6,0.0075,0.0122,0.1948,0.1405,0.2009
11pt_avg              ,127_1,0.1642,0.32,0.2864,0.2897,0.2897
11pt_avg              ,127_2,0.1063,0.1509,0.0683,0.117,0.0964
11pt_avg              ,127_3,0.2338,0.0885,0.5141,0.4657,0.4972
11pt_avg              ,127_4,0.615,0.0018,0.481,0.4197,0.5756
11pt_avg              ,127_5,0.0054,0.1558,0.3474,0.01,0.3763
11pt_avg              ,127_6,0.4318,0.5757,0.6296,0.4638,0.5953
11pt_avg              ,127_7,0.2482,0.3476,0.4608,0.3759,0.4125
11pt_avg              ,127_8,0.1141,0.3129,0.5776,0.5503,0.6371
11pt_avg              ,127_9,0.1928,0.0268,0.0377,0.2163,0.1793
11pt_avg              ,128_1,0.3229,0.2676,0.2056,0.2056,0.2056
11pt_avg              ,128_2,0.3292,0.0048,0.3866,0.2116,0.1824
11pt_avg              ,128_3,0.2678,0.088,0.3446,0.1731,0.2226
11pt_avg              ,129_1,0.1158,0.1325,0.1513,0.1513,0.1513
11pt_avg              ,129_2,0.2652,0.3561,0.3633,0.1227,0.2783
11pt_avg              ,129_3,0.1004,0.0755,0.135,0.2571,0.2886
11pt_avg              ,129_4,0.465,0.5459,0.4868,0.1657,0.0943
11pt_avg              ,129_5,0.5185,0.431,0.3334,0.4704,0.441
11pt_avg              ,129_6,0.1308,0.0084,0.0059,0.0089,0.017
11pt_avg              ,129_7,0.3585,0.3208,0.3299,0.0082,0.2875
11pt_avg              ,129_8,0.1574,0,0.1269,0.1215,0.1269
11pt_avg              ,131_1,0.1109,0.4132,0.346,0.346,0.346
11pt_avg              ,131_10,0.2737,0.3845,0.1288,0.2455,0.4317
11pt_avg              ,131_2,0.4006,0.1142,0.0936,0.0046,0.085
11pt_avg              ,131_3,0.1355,0.1362,0.2897,0.5354,0.5055
11pt_avg              ,131_4,0.3608,0.7809,0.6974,0.6126,0.7735
11pt_avg              ,131_5,0.4002,0.2374,0.0301,0.0006,0.262
11pt_avg              ,131_6,0.5454,0.4978,0.6006,0.2163,0.605
11pt_avg              ,131_7,0.4338,0.1377,0.0875,0.1805,0.1045
11pt_avg              ,131_8,0.2283,0.1816,0.0472,0.2666,0.2809
11pt_avg              ,131_9,0.0704,0.0295,0.053,0.0362,0.0256
11pt_avg              ,all,0.24,0.2216,0.2819,0.2354,0.2826
binG                  ,106_1,0.1008,0.0982,0.1572,0.1572,0.1571
binG                  ,106_10,0.1584,0.2752,0.1497,0.2462,0.1404
binG                  ,106_2,0.1329,0.0671,0.1409,0.0515,0.1275
binG                  ,106_3,0.1448,0.1575,0.1667,0,0.1175
binG                  ,106_4,0.2751,0.3143,0.3118,0.3511,0.3127
binG                  ,106_5,0.0661,0.0941,0.2114,0,0.2019
binG                  ,106_6,0.125,0.2385,0.2942,0.3334,0.311
binG                  ,106_7,0.2041,0.3567,0.2614,0.2384,0.3381
binG                  ,106_8,0.0621,0.068,0.1031,0.0292,0.1409
binG                  ,107_1,0.1843,0.2457,0.2377,0.2377,0.2377
binG                  ,107_2,0.3362,0.2948,0.2594,0.281,0.216
binG                  ,107_3,0.323,0.2113,0.2674,0.206,0.2497
binG                  ,107_4,0.211,0.0047,0.0403,0.0818,0.1168
binG                  ,107_5,0.1654,0.1745,0.1901,0.2218,0.1962
binG                  ,107_6,0.2465,0.2014,0.1879,0.2287,0.2526
binG                  ,107_7,0.2958,0.299,0.2343,0.2891,0.2365
binG                  ,107_8,0.3798,0.3938,0.3007,0.312,0.312
binG                  ,108_1,0.1773,0.2645,0.2531,0.2531,0.2531
binG                  ,108_2,0.1387,0.2259,0.2343,0.2068,0.1929
binG                  ,108_3,0.0253,0.1711,0.1507,0.1553,0.2673
binG                  ,108_4,0.0628,0.1028,0.1609,0.1651,0.1388
binG                  ,108_5,0.2433,0.2329,0.2487,0.1497,0.2457
binG                  ,108_6,0.0196,0.0102,0.038,0.058,0.0618
binG                  ,108_7,0.1383,0.1276,0.2564,0.2417,0.2267
binG                  ,108_8,0.3126,0.2556,0.2675,0.2425,0.2937
binG                  ,110_1,0.2471,0.278,0.265,0.265,0.265
binG                  ,110_2,0.2125,0.1233,0.229,0.2916,0.2877
binG                  ,110_3,0.1641,0.1523,0.2199,0.0014,0.2247
binG                  ,110_4,0.2274,0.0944,0.2316,0.2377,0.2413
binG                  ,110_5,0.4134,0.4624,0.1109,0.1614,0.4564
binG                  ,110_6,0.0301,0.0187,0.298,0.3508,0.2865
binG                  ,110_7,0.3054,0.0369,0.1544,0.1519,0.2235
binG                  ,110_8,0.3531,0.1841,0.09,0.2129,0.2698
binG                  ,110_9,0.2477,0.1162,0.1146,0.1729,0.1666
binG                  ,111_1,0.2714,0.1931,0.2368,0.2401,0.2401
binG                  ,111_2,0.4014,0.1328,0.1361,0.0142,0.1147
binG                  ,111_3,0.1492,0.0433,0.3098,0.0689,0.0485
binG                  ,111_4,0.243,0.0368,0.1747,0.1853,0.1757
binG                  ,111_5,0.145,0.1094,0.1225,0.0766,0.0936
binG                  ,111_6,0.4836,0.5489,0.4595,0.4708,0.6033
binG                  ,111_7,0.1719,0.0884,0,0.3945,0.3945
binG                  ,111_8,0.0424,0.225,0.2106,0.139,0.1517
binG                  ,111_9,0.1234,0.0162,0.199,0.1371,0.1218
binG                  ,112_1,0.2132,0.4239,0.4044,0.4065,0.4065
binG                  ,112_2,0.8329,0.0799,0.3262,0.396,0.5194
binG                  ,112_3,0.2333,0.2323,0.1743,0.1819,0.2282
binG                  ,112_4,0.1158,0.2003,0.2759,0.1886,0.2419
binG                  ,112_5,0.1523,0.2218,0.2127,0.225,0.225
binG                  ,112_6,0.1323,0.1778,0.1793,0.1474,0.1855
binG                  ,112_7,0.1711,0.0196,0.1599,0.2244,0.1702
binG                  ,112_9,0.0192,0.1349,0.2384,0.0895,0.1462
binG                  ,113_1,0.1415,0.2057,0.2227,0.2269,0.2269
binG                  ,113_2,0.2248,0.19,0.1935,0.1902,0.1852
binG                  ,113_3,0.2114,0.0512,0.2018,0.1656,0.1325
binG                  ,113_4,0.0517,0.0039,0.0336,0,0.0037
binG                  ,113_5,0.186,0.072,0.0571,0.0656,0.0629
binG                  ,113_6,0.1832,0.1441,0.2342,0,0.1622
binG                  ,113_7,0.1711,0,0.0706,0.0735,0.0668
binG                  ,113_8,0.1267,0.1179,0.0814,0.0834,0.0726
binG                  ,115_1,0.164,0.202,0.2341,0.2341,0.2341
binG                  ,115_10,0.1691,0.0894,0.0848,0.0581,0.1204
binG                  ,115_11,0.0977,0.2723,0.25,0.25,0.25
binG                  ,115_2,0.2979,0.1146,0.2936,0.1467,0.2491
binG                  ,115_3,0.1858,0.1514,0.1182,0.172,0.1579
binG                  ,115_4,0.3411,0.01,0.3363,0.0253,0.2399
binG                  ,115_5,0.241,0.0052,0.2478,0.2113,0.2346
binG                  ,115_6,0.2088,0.0689,0.1505,0.112,0.1463
binG                  ,115_7,0.3052,0.1119,0.15,0.0813,0.1629
binG                  ,115_8,0.224,0,0.3542,0.2897,0.3173
binG                  ,115_9,0.1278,0.1287,0.1649,0.0217,0.0822
binG                  ,116_1,0.3221,0.2658,0.3009,0.3133,0.3133
binG                  ,116_2,0.3279,0.2546,0.2073,0.251,0.201
binG                  ,116_3,0.1857,0.161,0.0976,0.1158,0.0984
binG                  ,116_4,0.1441,0.0214,0.1848,0.2608,0.2521
binG                  ,116_5,0.3164,0.1158,0.2503,0.039,0.1169
binG                  ,116_6,0.5281,0.2676,0.2642,0.3168,0.257
binG                  ,116_7,0.1287,0.1386,0.1327,0.1083,0.1078
binG                  ,116_8,0.0927,0.1015,0.0608,0.0936,0.1039
binG                  ,117_1,0,0.4752,0.3352,0.3352,0.3352
binG                  ,117_10,0.0618,0.0617,0.0538,0.019,0.0562
binG                  ,117_2,0.0277,0.1172,0.2053,0,0.0351
binG                  ,117_3,0.0142,0.0079,0.1312,0.1054,0.4871
binG                  ,117_4,0.0163,0,0.3291,0.3892,0.3739
binG                  ,117_5,0,0.5522,0.5466,0.5623,0.637
binG                  ,117_6,0,0.5583,0.6239,0.6052,0.7553
binG                  ,117_8,0.0205,0.2246,0.4226,0.0966,0.24
binG                  ,117_9,0.0101,0.1384,0.1776,0.1319,0.1958
binG                  ,118_1,0.1471,0.1899,0.1812,0.1907,0.1907
binG                  ,118_2,0.234,0.4134,0.3206,0.2795,0.296
binG                  ,118_3,0.214,0.429,0.2381,0.3494,0.2946
binG                  ,118_4,0.2113,0.0316,0.2696,0.2458,0.1877
binG                  ,118_5,0.1154,0.0399,0.2172,0.2439,0.2346
binG                  ,118_6,0.1798,0.0071,0.2256,0.1646,0.2234
binG                  ,118_7,0.1798,0.2053,0.2044,0.1782,0.2342
binG                  ,118_8,0.2485,0.2257,0.1467,0.1864,0.2151
binG                  ,119_1,0.2658,0.4335,0.3296,0.3296,0.3296
binG                  ,119_2,0.3394,0.0817,0.4279,0.3578,0.3481
binG                  ,119_3,0.4242,0.2467,0.2505,0,0.0054
binG                  ,119_4,0.2634,0.0158,0.0408,0.0399,0.0386
binG                  ,119_5,0.0489,0.2366,0.1902,0.0081,0.0461
binG                  ,119_6,0.0814,0.406,0.2293,0.2785,0.3328
binG                  ,119_7,0.0543,0.204,0.1389,0.2132,0.3029
binG                  ,119_8,0.0505,0.2075,0.1182,0.0053,0.1595
binG                  ,121_1,0.1385,0.2623,0.1916,0.1958,0.1958
binG                  ,121_2,0.255,0.2525,0.2568,0.2565,0.1894
binG                  ,121_3,0.2037,0.2369,0.1932,0.187,0.1929
binG                  ,121_4,0.2099,0.2997,0.3252,0.3523,0.3252
binG                  ,121_5,0,0.2445,0.6937,0.1241,0.1049
binG                  ,121_6,0.1274,0.2551,0.3791,0.1399,0.2229
binG                  ,121_7,0.0499,0.4967,0.524,0.4698,0.4232
binG                  ,121_8,0.3113,0,0.2767,0.2598,0.2993
binG                  ,124_1,0.1205,0.3081,0.1915,0.1933,0.1933
binG                  ,124_10,0.2509,0.1927,0.2246,0.1623,0.1725
binG                  ,124_11,0.1913,0.2145,0.238,0.2263,0.1618
binG                  ,124_2,0.2291,0.2874,0.2157,0.1101,0.1762
binG                  ,124_3,0.1298,0.1275,0.1128,0.0749,0.0828
binG                  ,124_4,0.1342,0.1777,0.0792,0.0907,0.1274
binG                  ,124_5,0.1363,0.1391,0.1327,0.1966,0.2496
binG                  ,124_6,0.2932,0.1937,0.2281,0.1847,0.1772
binG                  ,124_7,0.0982,0.166,0.2115,0.1455,0.1632
binG                  ,124_8,0.1072,0.1548,0.1508,0.1459,0.1408
binG                  ,124_9,0.2584,0.139,0.1753,0.1564,0.2211
binG                  ,125_1,0.3236,0.5687,0.418,0.418,0.418
binG                  ,125_2,0.1824,0.6455,0.6954,0.4918,0.6715
binG                  ,125_3,0.32,0.5417,0.5285,0.4301,0.5233
binG                  ,125_4,0.0347,0.1527,0.1624,0.1557,0.1544
binG                  ,125_5,0.2922,0.1808,0.3255,0.1001,0.3175
binG                  ,125_6,0.0938,0.1288,0.2643,0.1932,0.2946
binG                  ,127_1,0.1446,0.2378,0.204,0.2105,0.2105
binG                  ,127_2,0.1349,0.1545,0.1092,0.1339,0.1331
binG                  ,127_3,0.1742,0.1076,0.275,0.2539,0.2875
binG                  ,127_4,0.4505,0.0258,0.3429,0.3285,0.4666
binG                  ,127_5,0.0236,0.1998,0.3038,0.0844,0.3337
binG                  ,127_6,0.2956,0.4304,0.4361,0.2769,0.4377
binG                  ,127_7,0.2088,0.221,0.3793,0.2389,0.2505
binG                  ,127_8,0.0564,0.226,0.3249,0.2997,0.4123
binG                  ,127_9,0.152,0.0739,0.0658,0.1825,0.1554
binG                  ,128_1,0.2296,0.1593,0.1465,0.1506,0.1506
binG                  ,128_2,0.2139,0.0169,0.2391,0.1509,0.1358
binG                  ,128_3,0.1447,0.0999,0.1823,0.1308,0.1433
binG                  ,129_1,0.0929,0.1452,0.1459,0.1459,0.1459
binG                  ,129_2,0.1945,0.2183,0.2036,0.1299,0.1804
binG                  ,129_3,0.0703,0.0861,0.1294,0.1733,0.1887
binG                  ,129_4,0.3107,0.4032,0.3596,0.1409,0.1242
binG                  ,129_5,0.2781,0.2779,0.1925,0.2801,0.2359
binG                  ,129_6,0.1444,0.0678,0.0407,0.0702,0.0918
binG                  ,129_7,0.2749,0.27,0.2778,0.0426,0.2877
binG                  ,129_8,0.099,0,0.1208,0.1226,0.1223
binG                  ,131_1,0.0922,0.2487,0.2077,0.2094,0.2094
binG                  ,131_10,0.2019,0.2457,0.1312,0.1891,0.3152
binG                  ,131_2,0.249,0.1289,0.1074,0.0174,0.1005
binG                  ,131_3,0.1612,0.1785,0.2344,0.3788,0.3739
binG                  ,131_4,0.3054,0.675,0.5598,0.4624,0.6471
binG                  ,131_5,0.2939,0.2305,0.1041,0.0194,0.2323
binG                  ,131_6,0.457,0.3802,0.4732,0.261,0.4314
binG                  ,131_7,0.2429,0.1457,0.1215,0.1539,0.1253
binG                  ,131_8,0.2136,0.1893,0.1181,0.2197,0.231
binG                  ,131_9,0.062,0.0746,0.0907,0.08,0.0739
binG                  ,all,0.1899,0.1917,0.2267,0.1923,0.2302
bpref                 ,106_1,0.2031,0.2138,0.2931,0.2931,0.2931
bpref                 ,106_10,0.142,0.2367,0.1834,0.2485,0.1361
bpref                 ,106_2,0.4596,0.252,0.3688,0.2542,0.3699
bpref                 ,106_3,0.1636,0.1265,0.213,0,0.1235
bpref                 ,106_4,0.2847,0.2917,0.2778,0.2847,0.2569
bpref                 ,106_5,0.0522,0.1542,0.2971,0,0.2426
bpref                 ,106_6,0.125,0.1719,0.25,0.375,0.3594
bpref                 ,106_7,0.5087,0.6007,0.5642,0.4653,0.5278
bpref                 ,106_8,0.0556,0,0.1111,0.0764,0.2292
bpref                 ,107_1,0.641,0.7679,0.7515,0.7515,0.7515
bpref                 ,107_2,0.74,0.8347,0.7924,0.8297,0.7276
bpref                 ,107_3,0.6844,0.4333,0.5917,0.6154,0.6417
bpref                 ,107_4,0.5212,0,0.1438,0.5581,0.5012
bpref                 ,107_5,0.2993,0.1814,0.3152,0.3311,0.3152
bpref                 ,107_6,0.7106,0.769,0.8597,0.8229,0.8276
bpref                 ,107_7,0.6156,0.6986,0.7672,0.8089,0.8336
bpref                 ,107_8,0.7869,0.82,0.8669,0.8544,0.8544
bpref                 ,108_1,0.5036,0.6803,0.6848,0.6848,0.6848
bpref                 ,108_2,0.4696,0.6828,0.6746,0.6575,0.6468
bpref                 ,108_3,0.1641,0.7201,0.6111,0.6727,0.6766
bpref                 ,108_4,0.372,0.4918,0.6003,0.5765,0.455
bpref                 ,108_5,0.8021,0.7124,0.8386,0.7731,0.7966
bpref                 ,108_6,0.0529,0.04,0.1579,0.2416,0.3232
bpref                 ,108_7,0.4789,0.5558,0.8458,0.8454,0.6202
bpref                 ,108_8,0.7448,0.7396,0.7137,0.6522,0.718
bpref                 ,110_1,0.674,0.7588,0.7734,0.7734,0.7734
bpref                 ,110_2,0.6545,0.6752,0.7436,0.7503,0.7515
bpref                 ,110_3,0.7377,0.7557,0.925,0.0128,0.8898
bpref                 ,110_4,0.7236,0.2883,0.7761,0.7528,0.768
bpref                 ,110_5,0.457,0.5977,0.1797,0.4297,0.5391
bpref                 ,110_6,0,0,0.5208,0.5208,0.3681
bpref                 ,110_7,0.5606,0,0.3495,0.3149,0.4567
bpref                 ,110_8,0.6522,0.3856,0.2174,0.3289,0.5482
bpref                 ,110_9,0.5702,0.1488,0.2383,0.2425,0.2674
bpref                 ,111_1,0.8338,0.8783,0.7333,0.7621,0.7621
bpref                 ,111_2,0.8554,0.4776,0.6649,0.0676,0.5827
bpref                 ,111_3,0.4199,0.2285,0.5908,0.2871,0.2129
bpref                 ,111_4,0.5678,0.0033,0.5,0.4478,0.6011
bpref                 ,111_5,0.1511,0.04,0.0933,0.0133,0
bpref                 ,111_6,0.64,0.63,0.61,0.63,0.74
bpref                 ,111_7,0.16,0,0,0.36,0.36
bpref                 ,111_8,0.1984,0.6327,0.6065,0.4865,0.5576
bpref                 ,111_9,0.5331,0.0699,0.7276,0.6504,0.6199
bpref                 ,112_1,0.6596,0.8849,0.8791,0.8946,0.8946
bpref                 ,112_2,0.9527,0,0.8225,0.5917,0.8935
bpref                 ,112_3,0.5678,0.6078,0.6211,0.5933,0.6467
bpref                 ,112_4,0.4881,0.7508,0.8705,0.8101,0.8679
bpref                 ,112_5,0.5277,0.3691,0.5699,0.536,0.536
bpref                 ,112_6,0.5471,0.6705,0.6613,0.6821,0.6767
bpref                 ,112_7,0.4752,0.0624,0.7904,0.6688,0.6416
bpref                 ,112_9,0.0625,0.125,0.2031,0.0312,0.1562
bpref                 ,113_1,0.3463,0.5519,0.6111,0.6259,0.6259
bpref                 ,113_2,0.3924,0.2271,0.415,0.4328,0.434
bpref                 ,113_3,0.409,0.102,0.5086,0.5339,0.4743
bpref                 ,113_4,0.1249,0.0178,0.1153,0,0.0178
bpref                 ,113_5,0.2227,0.0039,0.0156,0.0586,0.0117
bpref                 ,113_6,0.4494,0.6457,0.6725,0,0.7014
bpref                 ,113_7,0.5264,0,0.3644,0.3837,0.3467
bpref                 ,113_8,0.358,0.2071,0.2102,0.2695,0.1228
bpref                 ,115_1,0.7106,0.7422,0.7101,0.7101,0.7101
bpref                 ,115_10,0.25,0.0347,0.125,0.0764,0.0972
bpref                 ,115_11,0.0625,0.25,0.25,0.25,0.25
bpref                 ,115_2,0.535,0.2963,0.5281,0.5144,0.5213
bpref                 ,115_3,0.3491,0.142,0.1006,0.1598,0.1302
bpref                 ,115_4,0.4074,0.037,0.4691,0.0741,0.2716
bpref                 ,115_5,0.7445,0.0291,0.7258,0.7355,0.7202
bpref                 ,115_6,0.4429,0.0554,0.2111,0.1592,0.1903
bpref                 ,115_7,0.4028,0.0903,0.0972,0.0625,0.0833
bpref                 ,115_8,0.4933,0,0.7744,0.8078,0.7578
bpref                 ,115_9,0.4159,0.5898,0.5241,0.1219,0.3879
bpref                 ,116_1,0.8073,0.7552,0.6597,0.7378,0.7378
bpref                 ,116_2,0.29,0.32,0.19,0.32,0.26
bpref                 ,116_3,0.0938,0.1602,0.2891,0.3164,0.293
bpref                 ,116_4,0.273,0.0741,0.5336,0.4897,0.5158
bpref                 ,116_5,0.2222,0,0,0,0
