name,qid,human,transformer,gpt3,chat_tom
11pt_avg              ,139_2-7,0.1951,0.0064,0.0827,0.1321
11pt_avg              ,139_2-9,0.3223,0.4628,0.3567,0.2903
11pt_avg              ,140_1-11,0.3999,0.2778,0.3955,0.3683
11pt_avg              ,140_1-3,0.4448,0.3886,0.4585,0.4107
11pt_avg              ,140_1-7,0.5885,0.5147,0.6583,0.5496
11pt_avg              ,140_1-9,0.3301,0.0001,0.0541,0.271
11pt_avg              ,140_2-1,0.3693,0,0.3129,0.2472
11pt_avg              ,140_2-3,0.452,0.3787,0.3831,0.4012
11pt_avg              ,140_3-1,0.3322,0,0.2656,0.2146
11pt_avg              ,140_4-10,0.7461,0,0.8022,0.7246
11pt_avg              ,140_4-12,0.2163,0.0596,0.1662,0.2841
11pt_avg              ,140_4-14,0.1137,0.0061,0.416,0.3111
11pt_avg              ,140_4-16,0.1925,0,0.2854,0.1965
11pt_avg              ,140_4-2,0.4751,0,0.4091,0.256
11pt_avg              ,140_4-6,0.029,0.0929,0.0299,0.0417
11pt_avg              ,140_4-8,0.4008,0.4308,0.0947,0.6724
11pt_avg              ,141_1-1,0.002,0.0071,0,0.0045
11pt_avg              ,141_1-3,0.0944,0.0117,0.0003,0.0039
11pt_avg              ,141_1-5,0.1519,0,0,0.0037
11pt_avg              ,141_2-1,0.1076,0.1719,0.0158,0.2168
11pt_avg              ,141_2-11,0.5708,0.5426,0.598,0.6084
11pt_avg              ,141_2-3,0.2627,0.1592,0.0034,0.2259
11pt_avg              ,141_2-9,0.2632,0.3869,0.0005,0.3333
11pt_avg              ,142_1-3,0.4218,0.134,0.3969,0.3005
11pt_avg              ,142_1-5,0.2834,0.3829,0.2863,0.2827
11pt_avg              ,142_2-2,0.5352,0.2177,0.0368,0.2043
11pt_avg              ,142_3-1,0.0249,0.0005,0.0918,0.2305
11pt_avg              ,142_3-3,0.3534,0.3904,0.3179,0.3011
11pt_avg              ,142_3-5,0.2799,0.1936,0.3217,0.2929
11pt_avg              ,142_4-1,0.1161,0,0.2159,0.0994
11pt_avg              ,142_5-1,0,0,0.2354,0.2896
11pt_avg              ,142_5-3,0.0056,0.5034,0.4936,0.3193
11pt_avg              ,142_5-5,0.0001,0.0001,0.0001,0.1965
11pt_avg              ,142_5-7,0.1586,0.0193,0.3522,0.208
11pt_avg              ,142_5-9,0.1427,0.1315,0.0797,0.2892
11pt_avg              ,142_6-1,0.0681,0.0909,0.1037,0.0935
11pt_avg              ,142_6-3,0.0453,0.0268,0.3686,0.0453
11pt_avg              ,142_7-1,0.1264,0.0008,0.311,0.3103
11pt_avg              ,142_8-1,0.4325,0.0127,0.4483,0.4483
11pt_avg              ,142_9-1,0.1377,0.0914,0.0015,0.0125
11pt_avg              ,143_1-1,0.6671,0.5433,0.7405,0.2067
11pt_avg              ,143_1-11,0.1819,0.0244,0.1192,0.0773
11pt_avg              ,143_1-13,0.029,0.005,0.0026,0.0007
11pt_avg              ,143_1-15,0.1557,0.0083,0.0216,0.0056
11pt_avg              ,143_1-17,0.1747,0,0.134,0.1859
11pt_avg              ,143_1-19,0.0015,0.0001,0.0086,0.0007
11pt_avg              ,143_1-3,0.5485,0.2144,0.2019,0.0729
11pt_avg              ,143_1-5,0.6111,0.6202,0.1258,0.1925
11pt_avg              ,143_1-7,0.0791,0.0717,0.1073,0.1586
11pt_avg              ,144_1-1,0.2708,0.1352,0.262,0.2779
11pt_avg              ,144_1-3,0.009,0,0.0555,0.0183
11pt_avg              ,144_1-5,0.0219,0.0277,0.0275,0.0083
11pt_avg              ,144_2-1,0.2007,0.0315,0.2139,0.2324
11pt_avg              ,144_2-11,0.2702,0.1624,0.0992,0.0527
11pt_avg              ,144_2-13,0.4957,0.0221,0.3767,0.4653
11pt_avg              ,144_2-15,0.5876,0.212,0.0839,0.1535
11pt_avg              ,144_2-17,0.5375,0.0002,0.0187,0.3394
11pt_avg              ,144_2-3,0.2634,0.1919,0.1215,0.1047
11pt_avg              ,144_2-5,0.5293,0.0001,0.459,0.1133
11pt_avg              ,144_2-7,0.4092,0.3206,0.2996,0.2677
11pt_avg              ,144_2-9,0.2587,0.0698,0.124,0.0437
11pt_avg              ,144_3-1,0.2009,0,0,0.0007
11pt_avg              ,145_1-1,0.2158,0.2174,0.0985,0.154
11pt_avg              ,145_1-3,0.1043,0.1563,0.1757,0.1656
11pt_avg              ,145_1-5,0.163,0.1524,0.175,0.1458
11pt_avg              ,145_1-7,0.12,0.1156,0.0228,0.1148
11pt_avg              ,145_2-1,0.0905,0.0588,0.0101,0.0405
11pt_avg              ,145_2-3,0.2469,0.1636,0.122,0.122
11pt_avg              ,145_2-5,0.3122,0.1751,0.1533,0.4388
11pt_avg              ,146_1-1,0.3976,0.4352,0.3627,0.3752
11pt_avg              ,146_1-3,0.3401,0.3262,0.3282,0.3285
11pt_avg              ,146_1-5,0.0574,0.0659,0.3104,0.0501
11pt_avg              ,146_1-7,0.147,0.1538,0.0246,0.0971
11pt_avg              ,146_1-9,0.2665,0.1364,0.062,0.2968
11pt_avg              ,147_1-1,0.2089,0.1631,0.1966,0.1047
11pt_avg              ,147_1-11,0.0557,0.0814,0.1094,0.0244
11pt_avg              ,147_1-13,0.098,0.1133,0.0333,0.1339
11pt_avg              ,147_1-15,0.0007,0,0.2063,0.0231
11pt_avg              ,147_1-7,0.1752,0.0474,0.007,0.001
11pt_avg              ,147_2-1,0.1243,0.1236,0.1147,0.0749
11pt_avg              ,147_2-3,0.0982,0,0.1525,0.0984
11pt_avg              ,147_2-5,0.1778,0.0045,0.1262,0.1091
11pt_avg              ,148_1-1,0.1415,0.0041,0.0938,0.012
11pt_avg              ,148_1-3,0.0071,0.0489,0.0467,0.0927
11pt_avg              ,148_1-5,0.0309,0.0532,0.1308,0.0706
11pt_avg              ,148_1-9,0.2541,0.2436,0.1918,0.0298
11pt_avg              ,148_2-3,0.0407,0.002,0.0304,0.0442
11pt_avg              ,148_2-5,0.1194,0,0.115,0.1067
11pt_avg              ,149_1-1,0.4479,0.4817,0.3589,0.2494
11pt_avg              ,149_1-5,0.2647,0.3452,0.2853,0.219
11pt_avg              ,149_2-1,0.0492,0,0.0748,0.1348
11pt_avg              ,149_2-5,0.2826,0.3029,0.2708,0.2458
11pt_avg              ,149_2-7,0.127,0.1336,0.1537,0.1375
11pt_avg              ,149_3-1,0.0132,0.0001,0.0097,0.0155
11pt_avg              ,149_3-3,0.1948,0.1977,0.2881,0.0989
11pt_avg              ,149_3-7,0.2986,0,0.0644,0.1085
11pt_avg              ,149_3-9,0.6538,0.5554,0.7219,0.6105
11pt_avg              ,all,0.2175,0.1271,0.1768,0.1684
binG                  ,132_1-1,0.2293,0.1472,0.1918,0.0986
binG                  ,132_1-3,0.0616,0.0605,0.0378,0.0108
binG                  ,132_1-5,0.0242,0,0.0009,0.0455
binG                  ,132_2-1,0.1808,0,0.1438,0.1401
binG                  ,132_2-11,0.0106,0.0868,0.0947,0.1328
binG                  ,132_2-13,0.4191,0,0.2472,0.0625
binG                  ,132_2-3,0.1629,0.1538,0.0151,0.0049
binG                  ,132_2-5,0.1291,0.2029,0.1739,0.1309
binG                  ,132_2-7,0.1769,0.1133,0.2304,0.2051
binG                  ,132_3-1,0.1932,0,0.1699,0.1532
binG                  ,132_3-3,0.1523,0.0371,0.159,0
binG                  ,132_3-5,0.1452,0,0.1372,0.1692
binG                  ,133_1-1,0.0904,0.0268,0.0934,0.0954
binG                  ,133_1-3,0.0842,0.0952,0.0185,0.0842
binG                  ,133_1-5,0.0205,0.0029,0.0004,0.0048
binG                  ,133_1-7,0.0697,0.0359,0.0248,0.0908
binG                  ,133_2-1,0.1123,0,0.1059,0.1208
binG                  ,133_2-3,0.0507,0.041,0.0432,0
binG                  ,133_3-2,0.0962,0.0906,0.0082,0.0457
binG                  ,133_3-4,0.1947,0.0462,0.1407,0.1574
binG                  ,133_3-6,0.0979,0.0393,0.0588,0.0728
binG                  ,133_3-8,0.1504,0.0664,0.074,0.1028
binG                  ,135_1-1,0.1203,0.1041,0.1219,0.095
binG                  ,135_1-3,0.0512,0.0539,0.0297,0.0368
binG                  ,135_1-5,0.0753,0.0044,0.0422,0.0717
binG                  ,135_1-7,0.0698,0.036,0.1279,0.1134
binG                  ,135_2-1,0.1678,0.0108,0.1772,0.1401
binG                  ,135_2-11,0.1137,0.0687,0.041,0.0376
binG                  ,135_2-3,0.1399,0.0421,0.1382,0.0685
binG                  ,135_2-5,0.1949,0.0876,0.1017,0.1777
binG                  ,135_2-7,0.1162,0.1062,0.1127,0.0143
binG                  ,135_2-9,0.1582,0.1705,0.1461,0.1157
binG                  ,135_3-1,0.0869,0.0666,0.0773,0.0962
binG                  ,135_3-3,0.0189,0.0273,0.046,0.0482
binG                  ,135_3-5,0.0803,0.0817,0.0025,0.0196
binG                  ,135_4-1,0.2043,0,0,0.1513
binG                  ,136_1-1,0.1735,0.1961,0.1661,0.1647
binG                  ,136_1-11,0.3161,0.3402,0.2443,0.2391
binG                  ,136_1-13,0.101,0.161,0.1002,0.1181
binG                  ,136_1-3,0.1514,0.1869,0.2098,0.238
binG                  ,136_1-5,0.1119,0.131,0.1328,0.0946
binG                  ,136_1-7,0.1712,0.1285,0.1553,0.1691
binG                  ,136_1-9,0.1512,0.0845,0.0673,0.0893
binG                  ,136_2-1,0.2803,0,0.0413,0.2092
binG                  ,136_2-3,0.1828,0.2078,0.2084,0.2049
binG                  ,136_2-5,0.1684,0.1151,0.207,0.2296
binG                  ,137_1-1,0.4484,0.4191,0.4481,0.4826
binG                  ,137_1-3,0.2491,0.2393,0.2683,0.078
binG                  ,137_1-5,0.2134,0.0827,0.2379,0.2154
binG                  ,137_1-7,0.3266,0.1338,0.2113,0.2994
binG                  ,137_1-9,0.2671,0,0.1224,0.1101
binG                  ,138_1-1,0.0185,0.1534,0.043,0.0512
binG                  ,138_1-11,0.2258,0.0591,0.1234,0.1516
binG                  ,138_1-3,0.1018,0.1504,0.0987,0.0517
binG                  ,138_1-5,0.1058,0.0926,0.0175,0.069
binG                  ,138_1-7,0,0,0,0.0279
binG                  ,138_1-9,0.1349,0.205,0.0719,0.1312
binG                  ,139_1-1,0.0779,0.0643,0.1112,0.0145
binG                  ,139_1-3,0.2888,0,0.3444,0.2894
binG                  ,139_1-5,0.3273,0,0.3053,0.057
binG                  ,139_1-7,0.0697,0.0205,0.1132,0.1397
binG                  ,139_2-11,0.1077,0,0.009,0.0086
binG                  ,139_2-13,0.0407,0.0545,0.0143,0.0127
binG                  ,139_2-15,0.1955,0.1863,0.0851,0.0576
binG                  ,139_2-17,0.0993,0.0056,0.1277,0.0976
binG                  ,139_2-3,0.0793,0.1208,0.0579,0.0612
binG                  ,139_2-7,0.1201,0.0262,0.0551,0.0793
binG                  ,139_2-9,0.1689,0.2073,0.1805,0.1557
binG                  ,140_1-11,0.2549,0.1763,0.2495,0.2346
binG                  ,140_1-3,0.3225,0.2715,0.3309,0.2355
binG                  ,140_1-7,0.5081,0.3961,0.5291,0.499
binG                  ,140_1-9,0.2596,0.0049,0.0718,0.2244
binG                  ,140_2-1,0.2617,0,0.2131,0.1742
binG                  ,140_2-3,0.3537,0.3204,0.3145,0.3208
binG                  ,140_3-1,0.2021,0,0.169,0.133
binG                  ,140_4-10,0.6031,0,0.7494,0.6807
binG                  ,140_4-12,0.2071,0.0883,0.1565,0.2187
binG                  ,140_4-14,0.1054,0.0106,0.2123,0.1779
binG                  ,140_4-16,0.1336,0,0.1643,0.1298
binG                  ,140_4-2,0.2749,0,0.2251,0.1636
binG                  ,140_4-6,0.094,0.1181,0.0846,0.0974
binG                  ,140_4-8,0.2273,0.2128,0.0789,0.3495
binG                  ,141_1-1,0.0194,0.0372,0,0.0229
binG                  ,141_1-3,0.0566,0.0367,0.0046,0.0123
binG                  ,141_1-5,0.1301,0,0,0.0166
binG                  ,141_2-1,0.064,0.1225,0.0177,0.1447
binG                  ,141_2-11,0.337,0.268,0.3263,0.4158
binG                  ,141_2-3,0.1682,0.1332,0.0191,0.1621
binG                  ,141_2-9,0.1933,0.2176,0.0029,0.219
binG                  ,142_1-3,0.2265,0.1332,0.2166,0.1824
binG                  ,142_1-5,0.1377,0.1886,0.1451,0.1331
binG                  ,142_2-2,0.3968,0.1877,0.0762,0.1565
binG                  ,142_3-1,0.0517,0.0041,0.0759,0.1481
binG                  ,142_3-3,0.1658,0.191,0.1364,0.138
binG                  ,142_3-5,0.192,0.1599,0.2125,0.2065
binG                  ,142_4-1,0.0578,0,0.1276,0.0449
binG                  ,142_5-1,0,0.0014,0.1275,0.1522
binG                  ,142_5-3,0.0166,0.2593,0.2549,0.1479
binG                  ,142_5-5,0.0016,0.0008,0.0008,0.1391
binG                  ,142_5-7,0.1191,0.0191,0.1745,0.1349
binG                  ,142_5-9,0.1273,0.1237,0.1021,0.2177
binG                  ,142_6-1,0.0837,0.0196,0.065,0.0402
binG                  ,142_6-3,0.059,0.0459,0.1809,0.059
binG                  ,142_7-1,0.0655,0.0017,0.1725,0.1534
binG                  ,142_8-1,0.2184,0.0581,0.2469,0.2469
binG                  ,142_9-1,0.1344,0.0517,0.0117,0.0591
binG                  ,143_1-1,0.4097,0.3247,0.4424,0.1692
binG                  ,143_1-11,0.193,0.0985,0.1734,0.1391
binG                  ,143_1-13,0.084,0.0437,0.0402,0.0193
binG                  ,143_1-15,0.1033,0.0423,0.046,0.0287
binG                  ,143_1-17,0.1589,0,0.1348,0.1511
binG                  ,143_1-19,0.0214,0.0032,0.0297,0.011
binG                  ,143_1-3,0.3785,0.1573,0.1603,0.1119
binG                  ,143_1-5,0.5038,0.555,0.2022,0.2239
binG                  ,143_1-7,0.1681,0.1586,0.1871,0.2118
binG                  ,144_1-1,0.1397,0.0875,0.1493,0.1789
binG                  ,144_1-3,0.0583,0,0.0832,0.0709
binG                  ,144_1-5,0.0856,0.1007,0.075,0.0642
binG                  ,144_2-1,0.1704,0.0719,0.1542,0.162
binG                  ,144_2-11,0.1612,0.136,0.1039,0.0647
binG                  ,144_2-13,0.3005,0.0969,0.261,0.3773
binG                  ,144_2-15,0.4092,0.2065,0.1206,0.1539
binG                  ,144_2-17,0.3996,0.0159,0.0924,0.3286
binG                  ,144_2-3,0.1363,0.1146,0.0826,0.0784
binG                  ,144_2-5,0.3285,0.0063,0.3033,0.0942
binG                  ,144_2-7,0.2849,0.2442,0.2184,0.2064
binG                  ,144_2-9,0.1926,0.1141,0.1222,0.0951
binG                  ,144_3-1,0.2609,0,0,0.0315
binG                  ,145_1-1,0.1347,0.1578,0.1069,0.1045
binG                  ,145_1-3,0.1373,0.1675,0.1663,0.1647
binG                  ,145_1-5,0.1731,0.1819,0.1847,0.1709
binG                  ,145_1-7,0.1512,0.1439,0.0775,0.1487
binG                  ,145_2-1,0.1792,0.1568,0.1013,0.1481
binG                  ,145_2-3,0.2201,0.1954,0.1707,0.1707
binG                  ,145_2-5,0.1819,0.1486,0.1462,0.2454
binG                  ,146_1-1,0.2386,0.2887,0.211,0.2179
binG                  ,146_1-3,0.1813,0.1964,0.1842,0.1873
binG                  ,146_1-5,0.0854,0.0928,0.2237,0.0827
binG                  ,146_1-7,0.0847,0.0888,0.0458,0.0333
binG                  ,146_1-9,0.1482,0.0978,0.0495,0.1528
binG                  ,147_1-1,0.1221,0.109,0.1159,0.0906
binG                  ,147_1-11,0.0565,0.0709,0.0548,0.0423
binG                  ,147_1-13,0.0724,0.0846,0.0555,0.0883
binG                  ,147_1-15,0.0124,0,0.1604,0.0567
binG                  ,147_1-7,0.1433,0.0525,0.025,0.0122
binG                  ,147_2-1,0.0857,0.0796,0.0727,0.0651
binG                  ,147_2-3,0.0764,0,0.1338,0.081
binG                  ,147_2-5,0.1233,0.0259,0.0844,0.069
binG                  ,148_1-1,0.113,0.0166,0.051,0.0478
binG                  ,148_1-3,0.0182,0.0332,0.0281,0.0314
binG                  ,148_1-5,0.0411,0.0864,0.1115,0.0809
binG                  ,148_1-9,0.1636,0.1513,0.1172,0.0521
binG                  ,148_2-3,0.0559,0.0126,0.0432,0.0593
binG                  ,148_2-5,0.0777,0,0.0589,0.0492
binG                  ,149_1-1,0.3409,0.3412,0.2261,0.1549
binG                  ,149_1-5,0.1669,0.208,0.1756,0.1628
binG                  ,149_2-1,0.0882,0,0.1075,0.1137
binG                  ,149_2-5,0.1525,0.1593,0.1494,0.129
binG                  ,149_2-7,0.0767,0.0824,0.0767,0.0793
binG                  ,149_3-1,0.0464,0.0033,0.0457,0.0448
binG                  ,149_3-3,0.191,0.1802,0.2631,0.081
binG                  ,149_3-7,0.1337,0,0.0665,0.0758
binG                  ,149_3-9,0.3258,0.272,0.3816,0.3034
binG                  ,all,0.1614,0.0994,0.1326,0.1305
bpref                 ,132_1-1,0.5242,0.3661,0.4375,0.2474
bpref                 ,132_1-3,0.4289,0.4061,0.2512,0.092
bpref                 ,132_1-5,0.2111,0,0.0064,0.3721
bpref                 ,132_2-1,0.7931,0,0.6573,0.7218
bpref                 ,132_2-11,0.0624,0.4772,0.5456,0.5495
bpref                 ,132_2-13,0.6522,0,0.4612,0
bpref                 ,132_2-3,0.563,0.4515,0.0572,0.0376
bpref                 ,132_2-5,0.4845,0.6014,0.4238,0.4626
bpref                 ,132_2-7,0.2278,0.1256,0.2744,0.28
bpref                 ,132_3-1,0.595,0,0.5775,0.5618
bpref                 ,132_3-3,0.166,0.1152,0.1262,0
bpref                 ,132_3-5,0.1384,0,0.1116,0.1384
bpref                 ,133_1-1,0.3546,0.1773,0.3842,0.3784
bpref                 ,133_1-3,0.3782,0.3352,0.0744,0.3782
bpref                 ,133_1-5,0.1057,0.0233,0.0034,0.0382
bpref                 ,133_1-7,0.0408,0.0167,0.1516,0.0525
bpref                 ,133_2-1,0.5972,0,0.6621,0.6027
bpref                 ,133_2-3,0.3008,0.1625,0.1384,0
bpref                 ,133_3-2,0.416,0.3556,0.0536,0.2857
bpref                 ,133_3-4,0.3837,0.0399,0.184,0.1684
bpref                 ,133_3-6,0.4508,0.2953,0.3769,0.3721
bpref                 ,133_3-8,0.6287,0.2411,0.3278,0.5033
bpref                 ,135_1-1,0.4461,0.3894,0.4381,0.436
bpref                 ,135_1-3,0.29,0.3321,0.2004,0.2417
bpref                 ,135_1-5,0.3855,0.0379,0.2404,0.3398
bpref                 ,135_1-7,0.1644,0.0528,0.2247,0.2217
bpref                 ,135_2-1,0.6838,0.0554,0.6276,0.5832
bpref                 ,135_2-11,0.4174,0.2279,0.2145,0.2076
bpref                 ,135_2-3,0.525,0.1478,0.525,0.4836
bpref                 ,135_2-5,0.368,0.3008,0.3716,0.32
bpref                 ,135_2-7,0.1892,0.0986,0.1439,0.0467
bpref                 ,135_2-9,0.4556,0.439,0.4223,0.4465
bpref                 ,135_3-1,0.4706,0.4344,0.4247,0.4785
bpref                 ,135_3-3,0.1263,0.2045,0.2137,0.24
bpref                 ,135_3-5,0.5539,0.5579,0.0232,0.1314
bpref                 ,135_4-1,0.1805,0,0,0.1169
bpref                 ,136_1-1,0.6771,0.7172,0.7059,0.6556
bpref                 ,136_1-11,0.5655,0.5556,0.5494,0.5195
bpref                 ,136_1-13,0.137,0.5229,0.1493,0.2195
bpref                 ,136_1-3,0.4285,0.449,0.5682,0.5433
bpref                 ,136_1-5,0.2248,0.3161,0.1964,0.3387
bpref                 ,136_1-7,0.5309,0.4996,0.4987,0.5291
bpref                 ,136_1-9,0.5956,0.3915,0.4861,0.5867
bpref                 ,136_2-1,0.4024,0,0,0.2071
bpref                 ,136_2-3,0.777,0.7896,0.8087,0.7995
bpref                 ,136_2-5,0.0393,0.0083,0.2149,0.2004
bpref                 ,137_1-1,0.7863,0.7686,0.7647,0.7765
bpref                 ,137_1-3,0.3272,0.2778,0.3426,0.3395
bpref                 ,137_1-5,0.2325,0.29,0.2425,0.26
bpref                 ,137_1-7,0.28,0,0.08,0.2
bpref                 ,137_1-9,0.2562,0,0.0992,0.0661
bpref                 ,138_1-1,0.11,0.466,0.2407,0.2793
bpref                 ,138_1-11,0.4578,0.0464,0.4673,0.4328
bpref                 ,138_1-3,0.1811,0.3878,0.2244,0.3089
bpref                 ,138_1-5,0.2352,0.2104,0.1044,0.2212
bpref                 ,138_1-7,0,0,0,0.155
bpref                 ,138_1-9,0.6478,0.7063,0.4217,0.6609
bpref                 ,139_1-1,0.3203,0.3032,0.5609,0.0967
bpref                 ,139_1-3,0.4277,0,0.5088,0.4714
bpref                 ,139_1-5,0.6114,0,0.569,0.2302
bpref                 ,139_1-7,0.0906,0.0321,0.1432,0.1658
bpref                 ,139_2-11,0.2947,0,0.0154,0.0249
bpref                 ,139_2-13,0.1964,0.2728,0.0725,0.1036
bpref                 ,139_2-15,0.2597,0.2494,0.2553,0.2281
bpref                 ,139_2-17,0.4153,0.0018,0.4165,0.3994
bpref                 ,139_2-3,0.4697,0.5673,0.3926,0.338
bpref                 ,139_2-7,0.4176,0.1377,0.2897,0.3633
bpref                 ,139_2-9,0.7724,0.7925,0.7827,0.7583
bpref                 ,140_1-11,0.5921,0.4527,0.6176,0.624
bpref                 ,140_1-3,0.7067,0.7043,0.7171,0.7248
bpref                 ,140_1-7,0.7392,0.7424,0.8208,0.7488
bpref                 ,140_1-9,0.4175,0,0.1375,0.4125
bpref                 ,140_2-1,0.7361,0,0.6961,0.5614
bpref                 ,140_2-3,0.5941,0.551,0.6372,0.6689
bpref                 ,140_3-1,0.6785,0,0.7514,0.544
bpref                 ,140_4-10,0.6276,0,0.7245,0.6888
bpref                 ,140_4-12,0.2025,0.34,0.1375,0.285
bpref                 ,140_4-14,0.3044,0.0433,0.8515,0.7833
bpref                 ,140_4-16,0.6054,0,0.6567,0.4673
bpref                 ,140_4-2,0.8881,0,0.8756,0.8197
bpref                 ,140_4-6,0.0784,0.4172,0.0814,0.1213
bpref                 ,140_4-8,0.7326,0.7385,0.2894,0.8476
bpref                 ,141_1-1,0.0725,0.1095,0,0.1198
bpref                 ,141_1-3,0.2553,0.1533,0.0408,0.0596
bpref                 ,141_1-5,0.5176,0,0,0.1286
bpref                 ,141_2-1,0.3223,0.5464,0.1266,0.6988
bpref                 ,141_2-11,0.743,0.7722,0.8824,0.9061
bpref                 ,141_2-3,0.5575,0.5358,0.1522,0.5469
bpref                 ,141_2-9,0.7017,0.7555,0.0213,0.6591
bpref                 ,142_1-3,0.6836,0.3895,0.7102,0.6177
bpref                 ,142_1-5,0.7508,0.8265,0.7525,0.6939
bpref                 ,142_2-2,0.5966,0.2774,0.1343,0.2097
bpref                 ,142_3-1,0.3965,0.0257,0.2758,0.6242
bpref                 ,142_3-3,0.7419,0.7636,0.7368,0.8081
bpref                 ,142_3-5,0.6164,0.307,0.7064,0.6443
bpref                 ,142_4-1,0.1329,0,0.5237,0.2648
bpref                 ,142_5-1,0,0.0126,0.7779,0.8124
bpref                 ,142_5-3,0.1156,0.8546,0.8369,0.7967
bpref                 ,142_5-5,0.013,0.0069,0.0084,0.6076
bpref                 ,142_5-7,0.392,0.1105,0.6677,0.5752
bpref                 ,142_5-9,0.4206,0.4571,0.4829,0.4506
bpref                 ,142_6-1,0.5826,0.0315,0.2064,0.1165
bpref                 ,142_6-3,0.4268,0.2975,0.8347,0.4268
bpref                 ,142_7-1,0.365,0.0131,0.7043,0.7449
