name,qid,transformer,human,gpt3,chat_tom,chat_user_collo,chat_user_natural
11pt_avg              ,98_8,0.5209,0.5888,0.2605,0.0251,0.3142,0.0251
11pt_avg              ,99_1,0.3511,0.3508,0.3508,0.3511,0.3511,0.3508
11pt_avg              ,99_2,0.0933,0.0232,0.052,0.001,0.0316,0.0553
11pt_avg              ,99_3,0.0056,0.1837,0.0942,0.0006,0.007,0.0483
11pt_avg              ,99_4,0.1538,0.1818,0.0446,0.107,0.0378,0.0503
11pt_avg              ,99_5,0,0.2375,0.2375,0.2346,0.0213,0.2408
11pt_avg              ,99_6,0.1336,0.2592,0.1953,0.0405,0.1466,0.1131
11pt_avg              ,99_7,0.052,0.1085,0.0305,0.2005,0.1376,0.2005
11pt_avg              ,99_8,0.0781,0.348,0.2978,0.3723,0.2759,0.3765
11pt_avg              ,all,0.2082,0.2967,0.2592,0.2558,0.2041,0.2503
binG                  ,100_1,0.2699,0.2699,0.2699,0.2699,0.2699,0.2699
binG                  ,100_2,0.3046,0.3089,0.2558,0.3062,0.305,0.2813
binG                  ,100_3,0.0163,0.3201,0.1305,0.1863,0.2401,0.2487
binG                  ,100_4,0.1347,0.2194,0.1062,0.1287,0.0347,0.0693
binG                  ,100_5,0,0.1134,0.1474,0.1317,0,0.1285
binG                  ,100_6,0.1608,0.1608,0.2336,0.2218,0.287,0.2419
binG                  ,100_7,0.3381,0.0892,0.1143,0.0892,0.0838,0.1457
binG                  ,100_8,0.2062,0.1888,0.194,0.1274,0.2138,0.1051
binG                  ,101_1,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206
binG                  ,101_10,0.0437,0.5549,0.3511,0.6248,0.2647,0.6231
binG                  ,101_2,0.237,0.237,0.2019,0.2686,0.1671,0.2686
binG                  ,101_3,0.3108,0.3108,0.3061,0.2816,0.3207,0.3061
binG                  ,101_4,0.1721,0.3351,0.1564,0.1146,0.1458,0.143
binG                  ,101_5,0.307,0.2513,0.2242,0.146,0.1938,0.1982
binG                  ,101_6,0.3019,0.3019,0.3019,0.2424,0.0029,0.1299
binG                  ,101_7,0.0544,0.3213,0.2982,0.3026,0.2775,0.3616
binG                  ,101_8,0.1254,0.5356,0.0577,0.2666,0.1256,0.6573
binG                  ,101_9,0.0567,0.2054,0.4639,0.3059,0.0778,0.3141
binG                  ,102_1,0.2684,0.2757,0.2684,0.2684,0.2684,0.2684
binG                  ,102_2,0.1512,0.2308,0.0343,0.114,0.0697,0.1245
binG                  ,102_3,0.7065,0.5996,0.6179,0.6155,0.6155,0.6155
binG                  ,102_4,0.159,0.159,0.2362,0.1952,0.1736,0.1742
binG                  ,102_5,0.1466,0.1059,0.1282,0.1502,0.1651,0.1813
binG                  ,102_6,0.2426,0.2426,0.2555,0.2034,0.0773,0.1976
binG                  ,102_7,0.15,0.1592,0.199,0.138,0.1742,0.2693
binG                  ,102_8,0.0762,0.1276,0.0234,0.067,0.057,0.0655
binG                  ,102_9,0.066,0.1435,0,0.0035,0.0418,0.0079
binG                  ,103_1,0.1327,0.1882,0.1327,0.1327,0.1327,0.1327
binG                  ,103_10,0.0356,0.157,0.0989,0.0683,0.0152,0.1073
binG                  ,103_2,0.3149,0.4295,0.4261,0.2523,0.1145,0.3982
binG                  ,103_3,0.0206,0.1013,0.1053,0.0869,0.0227,0.1004
binG                  ,103_4,0.0393,0.1928,0.1928,0.2345,0,0.1928
binG                  ,103_5,0.0726,0.2777,0.2777,0.5075,0.1923,0.5075
binG                  ,103_6,0.0238,0.0851,0.0882,0.1467,0.0103,0.084
binG                  ,103_8,0,0.0858,0.3348,0.2088,0.0971,0.1447
binG                  ,103_9,0,0.1198,0.0836,0.2145,0,0.1057
binG                  ,104_1,0.1424,0.1424,0.1424,0.1424,0.1424,0.1424
binG                  ,104_10,0,0.1361,0.2284,0,0,0
binG                  ,104_12,0.0783,0.126,0.0839,0.1085,0.0073,0.0752
binG                  ,104_13,0.0398,0.1413,0.0909,0.0987,0.0586,0.0762
binG                  ,104_3,0.2007,0.1992,0.2145,0.2218,0.2226,0.1207
binG                  ,104_4,0.0936,0.4297,0.3461,0.3627,0.2,0.3087
binG                  ,104_6,0.1345,0.5467,0.116,0.2708,0,0.0989
binG                  ,104_7,0.1277,0.527,0.4178,0.5353,0.1523,0.5357
binG                  ,104_8,0.0253,0.1149,0.2004,0.1524,0.0844,0.197
binG                  ,104_9,0.325,0.3102,0.1894,0.2971,0.3314,0.1313
binG                  ,105_1,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224
binG                  ,105_2,0.0191,0.2728,0.0361,0.0063,0,0.0233
binG                  ,105_3,0,0.1954,0.1982,0.1956,0,0.1846
binG                  ,105_4,0.0117,0.1263,0.2121,0.132,0.0199,0.0152
binG                  ,105_5,0.4326,0.4226,0.4326,0.3379,0.4947,0.222
binG                  ,105_6,0.2107,0.2107,0.2103,0.1835,0.2173,0.1713
binG                  ,105_7,0.3599,0.3716,0.5701,0.5594,0.7112,0.5594
binG                  ,105_8,0.0799,0,0.1003,0,0,0
binG                  ,105_9,0.1999,0.3208,0.4235,0.3285,0.2685,0.3175
binG                  ,81_1,0.2251,0.2251,0.2251,0.2251,0.2251,0.2251
binG                  ,81_2,0.2224,0.2211,0.1944,0.2019,0.2421,0.2567
binG                  ,81_3,0.2101,0.4052,0.2667,0.1324,0.026,0.2288
binG                  ,81_4,0.2192,0.2318,0.2318,0.2318,0,0.2327
binG                  ,81_5,0.2581,0.2581,0.2087,0.2044,0.2313,0.2025
binG                  ,81_6,0.1851,0.1851,0.2122,0.1683,0.1824,0.1609
binG                  ,81_7,0.1105,0.1395,0.1071,0.0967,0.0943,0.0919
binG                  ,81_8,0.1001,0.1333,0.0743,0.0677,0.0752,0.0668
binG                  ,82_1,0.2906,0.2906,0.2906,0.2906,0.2906,0.2906
binG                  ,82_10,0.0515,0.0441,0.1813,0.0347,0.0603,0.0302
binG                  ,82_2,0.214,0.214,0.16,0.1547,0.1547,0.1548
binG                  ,82_3,0.2083,0.2027,0.2032,0.1939,0.1569,0.1558
binG                  ,82_4,0.4255,0.4508,0.313,0.3814,0.4164,0.3814
binG                  ,82_5,0.101,0.4134,0.248,0.3506,0.1071,0.1899
binG                  ,82_6,0.1072,0.3629,0.3395,0.3255,0.0906,0.2907
binG                  ,82_7,0.202,0.1864,0.1974,0.1628,0.1489,0.1712
binG                  ,82_8,0.1975,0.3861,0.1606,0.3137,0.274,0.1994
binG                  ,82_9,0.0285,0.2861,0.3274,0.4528,0.2412,0.4308
binG                  ,83_1,0.1308,0.1308,0.1308,0.1308,0.1308,0.1308
binG                  ,83_2,0.0768,0.2467,0.2644,0.239,0.1023,0.239
binG                  ,83_3,0.5133,0.4948,0.4948,0.1719,0.4776,0.252
binG                  ,83_4,0.1939,0.181,0.1117,0.0976,0.1585,0.1063
binG                  ,83_5,0.1616,0.1862,0.1707,0.15,0.0528,0.1652
binG                  ,83_6,0.1096,0.3146,0.0448,0.113,0.113,0.1092
binG                  ,83_7,0.3368,0.2356,0.2746,0.295,0.1317,0.2746
binG                  ,83_8,0.2404,0.2386,0.2253,0.2018,0.2089,0.2018
binG                  ,84_1,0.3282,0.3282,0.3282,0.3282,0.3282,0.3282
binG                  ,84_2,0.1815,0.2184,0.269,0.2402,0.2564,0.2444
binG                  ,84_3,0.1813,0.2796,0.234,0.2556,0.2181,0.2158
binG                  ,84_4,0.1421,0.2273,0.2569,0.2068,0.0849,0.2222
binG                  ,84_5,0.1051,0.1929,0.164,0.1677,0.044,0.0667
binG                  ,84_6,0.0377,0.0977,0.1278,0.1287,0.0442,0.0816
binG                  ,85_1,0.357,0.3174,0.357,0.357,0.357,0.357
binG                  ,85_2,0.4827,0.4827,0.3147,0.3573,0.3696,0.4623
binG                  ,85_3,0.22,0.4632,0.3843,0.42,0.4537,0.4486
binG                  ,85_4,0.0344,0.2807,0.286,0.2796,0.2552,0.2796
binG                  ,85_5,0.2309,0.2657,0.2589,0.1844,0,0.2323
binG                  ,85_6,0.2132,0.3327,0.3504,0.3372,0.2745,0.3368
binG                  ,85_7,0,0.3139,0.1965,0.2377,0.2124,0.2988
binG                  ,85_8,0,0.2332,0.2093,0.2066,0.1212,0.2176
binG                  ,85_9,0,0.1315,0.2553,0.2577,0,0.2617
binG                  ,86_1,0.245,0.245,0.245,0.245,0.245,0.245
binG                  ,86_2,0.0964,0.2783,0.2217,0.2081,0.1912,0.2015
binG                  ,86_3,0.308,0.3229,0.2811,0.319,0.22,0.3468
binG                  ,86_4,0.1457,0.2342,0.2858,0.2302,0.2633,0.2457
binG                  ,86_5,0.0866,0.1195,0.2822,0.2799,0.2141,0.2391
binG                  ,86_6,0.1137,0.1137,0,0.2477,0.0068,0
binG                  ,86_7,0.2785,0.2804,0.2847,0.2968,0.0089,0.2355
binG                  ,87_1,0.2762,0.2762,0.2762,0.2762,0.2762,0.2762
binG                  ,87_2,0.2394,0.2441,0.2256,0.2146,0.2336,0.2146
binG                  ,87_3,0.6638,0.6638,0.6638,0.6078,0.5136,0.6078
binG                  ,87_4,0.3735,0.3604,0.303,0.2584,0.3892,0.2584
binG                  ,87_5,0.4362,0.5689,0.3146,0.3736,0.2244,0.3781
binG                  ,87_7,0.2325,0.2282,0.2282,0.2202,0.2289,0.2018
binG                  ,87_8,0.0967,0.2438,0.0912,0.0978,0.015,0.083
binG                  ,87_9,0.2218,0.215,0.2328,0.262,0.2074,0.2294
binG                  ,88_1,0.187,0.187,0.187,0.187,0.187,0.187
binG                  ,88_10,0.0942,0.1188,0.2681,0.2587,0.164,0.1607
binG                  ,88_2,0.3914,0.2627,0.2726,0.2726,0.2288,0.2726
binG                  ,88_3,0.1217,0.1253,0.1202,0.0987,0.1261,0.1714
binG                  ,88_4,0.0829,0.1245,0.035,0.0474,0.0674,0.0548
binG                  ,88_5,0.1947,0.1947,0.2016,0.1905,0.186,0.1365
binG                  ,88_6,0.1809,0.1943,0.1011,0.1098,0.3344,0.1954
binG                  ,88_7,0.1467,0.2968,0.2984,0.298,0.2718,0.3083
binG                  ,88_8,0.368,0.3437,0.3859,0.3981,0.2835,0.3678
binG                  ,88_9,0,0.21,0.0218,0.0103,0,0.1126
binG                  ,89_1,0.2627,0.2627,0.2627,0.2627,0.2627,0.2627
binG                  ,89_10,0,0.2938,0.2435,0.1488,0.1187,0.1825
binG                  ,89_11,0.1499,0.1325,0.1847,0.0314,0.1846,0.1011
binG                  ,89_2,0.1857,0.1857,0.0854,0.1568,0.2414,0.1568
binG                  ,89_3,0.138,0.2763,0.2759,0.2759,0.2763,0.247
binG                  ,89_4,0.8863,0.8488,0.5345,0.5345,0.7339,0.5379
binG                  ,89_5,0.3881,0.3881,0.3407,0.4195,0.4702,0.3871
binG                  ,89_6,0.0128,0.18,0.0116,0.0115,0.0172,0
binG                  ,89_7,0.25,0.25,0.2208,0.3156,0.2664,0.2354
binG                  ,89_8,0.3515,0.3515,0.3516,0.3662,0.1367,0.3363
binG                  ,89_9,0.1833,0.2278,0.1811,0.173,0.1532,0.1761
binG                  ,90_1,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322
binG                  ,90_2,0.1217,0.293,0.2029,0.4439,0.3306,0.38
